DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
30-06-03,0.0142,0.0165,0.0014,-0.0123,-0.0112,0.0044,-0.004
31-07-03,0.0233,0.044,-0.0153,-0.003,-0.0789,-0.0389,0.0152
31-08-03,0.0233,0.0237,0.0164,-0.0053,-0.0606,-0.0229,0.0215
30-09-03,-0.0124,0.0057,0.0014,-0.0007,0.0292,0.009,0.0041
31-10-03,0.0608,0.0263,0.0221,0.0401,-0.0628,-0.0138,0.0165
30-11-03,0.0135,0.0231,0.0172,0.0136,0.0031,0.0021,0.0168
31-12-03,0.0429,-0.0251,0.0151,-0.0554,0.0264,0.0057,0.0085
31-01-04,0.0215,0.0246,0.0242,0.0257,-0.0239,-0.036,0.0333
29-02-04,0.014,-0.0092,0.0095,-0.0117,0.0268,0.0213,-0.0117
31-03-04,-0.0132,0.0211,0.0023,0.0019,-0.0045,0.0165,-0.0098
30-04-04,-0.0182,-0.0206,-0.0323,-0.0534,0.0689,0.0346,-0.0283
31-05-04,0.0118,-0.004,-0.0018,0.0149,-0.0322,-0.0117,0.0001
30-06-04,0.0186,0.0252,0.0121,0.0208,0.0024,0.0112,-0.0031
31-07-04,-0.0404,-0.0292,0.0322,-0.0224,0.0745,0.0521,-0.0168
31-08-04,0.0008,-0.0118,0.0108,-0.0155,0.0652,0.0121,-0.0135
30-09-04,0.016,0.0322,-0.0005,0.0548,-0.0448,-0.0149,-0.0172
31-10-04,0.0142,0.0015,-0.0026,-0.0143,-0.0458,-0.0053,0.0041
30-11-04,0.0453,0.0412,0.0157,0.0308,-0.0198,-0.0052,-0.0018
31-12-04,0.0341,-0.0004,-0.0023,-0.0285,-0.0173,-0.0107,0.0039
31-01-05,-0.0275,-0.0111,0.0206,0.0296,0.0446,0.028,-0.0141
28-02-05,0.0188,-0.003,0.0141,0.0343,0.0173,0.0132,-0.0021
31-03-05,-0.0193,-0.0141,0.0207,0.0043,0.0241,0.0044,0.0134
30-04-05,-0.026,-0.0397,0.0005,-0.0068,0.0509,0.0097,-0.0085
31-05-05,0.0365,0.0276,-0.0058,0.0037,-0.0677,-0.0102,0.0028
30-06-05,0.0058,0.0326,0.028,0.0207,0.0054,0.0087,-0.0052
31-07-05,0.0392,0.0276,-0.0078,0.0003,-0.0471,-0.0119,-0.0078
31-08-05,-0.012,-0.0094,0.0134,0.0207,-0.003,-0.0196,0.0038
30-09-05,0.0048,-0.0031,0.0078,0.0346,-0.0085,0.0026,-0.0061
31-10-05,-0.0204,-0.015,0.0043,-0.0119,0.0203,-0.007,-0.0126
30-11-05,0.0361,0.009,-0.0119,0.0034,-0.0433,-0.0079,-0.0109
31-12-05,-0.0024,-0.0025,0.0015,0.0078,0.0198,0.0018,0.002
31-01-06,0.0303,0.0583,0.0099,0.0252,-0.0298,-0.0066,-0.0035
28-02-06,-0.003,-0.0046,-0.0031,-0.0178,-0.0034,-0.0054,0.0198
31-03-06,0.0147,0.0334,0.0061,0.0126,-0.0162,0.0003,-0.0044
30-04-06,0.0073,-0.0079,0.0226,0.006,0.0059,0.0174,-0.0013
